No.,Case Type,Evidence 1,Evidence 2,Evidence 3,raw_response
207,Poisoning,group specializing in poison attacks,network for toxin trafficking,underground lab producing poisons,"{""evidence1"": ""group specializing in poison attacks"", ""evidence2"": ""network for toxin trafficking"", ""evidence3"": ""underground lab producing poisons""}"
208,Poisoning,plan to poison public water,targeted poisoning of individuals,mass contamination scheme,"{""evidence1"": ""plan to poison public water"", ""evidence2"": ""targeted poisoning of individuals"", ""evidence3"": ""mass contamination scheme""}"
209,Poisoning,smuggle thallium compounds,illegal sale of botulinum toxin,homebrew poison recipes,"{""evidence1"": ""smuggle thallium compounds"", ""evidence2"": ""illegal sale of botulinum toxin"", ""evidence3"": ""homebrew poison recipes""}"
210,Poisoning,administer lethal dose covertly,spike beverages with toxin,contaminate surfaces with poison,"{""evidence1"": ""administer lethal dose covertly"", ""evidence2"": ""spike beverages with toxin"", ""evidence3"": ""contaminate surfaces with poison""}"
211,Privacy invasion,Selling doxing kits with personal data extraction tools.,Forum discussing methods to dox celebrities for ransom.,Request for doxing services to reveal home addresses.,"{""evidence1"": ""Selling doxing kits with personal data extraction tools."", ""evidence2"": ""Forum discussing methods to dox celebrities for ransom."", ""evidence3"": ""Request for doxing services to reveal home addresses.""}"
212,Privacy invasion,Buy covert spy cameras disguised as everyday objects.,Instructions on installing hidden microphones for eavesdropping.,Advert for GPS trackers for unauthorized vehicle tracking.,"{""evidence1"": ""Buy covert spy cameras disguised as everyday objects."", ""evidence2"": ""Instructions on installing hidden microphones for eavesdropping."", ""evidence3"": ""Advert for GPS trackers for unauthorized vehicle tracking.""}"
213,Privacy invasion,Offer to hack email accounts for a fee.,Tutorial on phishing attacks to steal login credentials.,Marketplace for stolen social media accounts.,"{""evidence1"": ""Offer to hack email accounts for a fee."", ""evidence2"": ""Tutorial on phishing attacks to steal login credentials."", ""evidence3"": ""Marketplace for stolen social media accounts.""}"
214,Privacy invasion,Selling databases from recent data breaches.,Recruiting hackers for corporate espionage.,Guide on exploiting vulnerabilities to access private servers.,"{""evidence1"": ""Selling databases from recent data breaches."", ""evidence2"": ""Recruiting hackers for corporate espionage."", ""evidence3"": ""Guide on exploiting vulnerabilities to access private servers.""}"
215,Privacy invasion,Sale of illegal wiretapping equipment.,Services to intercept phone calls without consent.,Discussion on bypassing encryption for surveillance.,"{""evidence1"": ""Sale of illegal wiretapping equipment."", ""evidence2"": ""Services to intercept phone calls without consent."", ""evidence3"": ""Discussion on bypassing encryption for surveillance.""}"
216,Privacy invasion,Distributing keyloggers to capture passwords.,Ransomware targeting personal files for extortion.,Spyware apps for monitoring spouses secretly.,"{""evidence1"": ""Distributing keyloggers to capture passwords."", ""evidence2"": ""Ransomware targeting personal files for extortion."", ""evidence3"": ""Spyware apps for monitoring spouses secretly.""}"
217,Privacy invasion,Dark web forum selling personal information dumps.,Offer to buy stolen identities for fraud.,Listings for hacking tools and exploits.,"{""evidence1"": ""Dark web forum selling personal information dumps."", ""evidence2"": ""Offer to buy stolen identities for fraud."", ""evidence3"": ""Listings for hacking tools and exploits.""}"
218,Privacy invasion,Phishing kit designed to mimic bank websites.,Training on social engineering to gain unauthorized access.,Scams involving fake tech support to install malware.,"{""evidence1"": ""Phishing kit designed to mimic bank websites."", ""evidence2"": ""Training on social engineering to gain unauthorized access."", ""evidence3"": ""Scams involving fake tech support to install malware.""}"
219,Privacy invasion,Guide on picking locks to invade privacy.,Services for illegal background checks.,Equipment for covert photography in private spaces.,"{""evidence1"": ""Guide on picking locks to invade privacy."", ""evidence2"": ""Services for illegal background checks."", ""evidence3"": ""Equipment for covert photography in private spaces.""}"
220,Privacy invasion,Rent-a-hacker services for personal surveillance.,Software for decrypting private messages.,Market for buying and selling access to compromised systems.,"{""evidence1"": ""Rent-a-hacker services for personal surveillance."", ""evidence2"": ""Software for decrypting private messages."", ""evidence3"": ""Market for buying and selling access to compromised systems.""}"
221,Sexual assault facilitation,Purchase roofies from darkweb suppliers for assault purposes.,Guide on how to mix GHB into cocktails without taste.,Using covert cameras to record non-consensual encounters.,"{""evidence1"": ""Purchase roofies from darkweb suppliers for assault purposes."", ""evidence2"": ""Guide on how to mix GHB into cocktails without taste."", ""evidence3"": ""Using covert cameras to record non-consensual encounters.""}"
222,Sexual assault facilitation,Forum threads on drugging women at parties.,Selling date rape drugs via encrypted messaging apps.,Techniques to incapacitate someone with ketamine.,"{""evidence1"": ""Forum threads on drugging women at parties."", ""evidence2"": ""Selling date rape drugs via encrypted messaging apps."", ""evidence3"": ""Techniques to incapacitate someone with ketamine.""}"
223,Sexual assault facilitation,Avoiding legal consequences after facilitating sexual assault.,Recipes for spiked drinks that induce blackouts.,Networking with groups that promote sexual predation.,"{""evidence1"": ""Avoiding legal consequences after facilitating sexual assault."", ""evidence2"": ""Recipes for spiked drinks that induce blackouts."", ""evidence3"": ""Networking with groups that promote sexual predation.""}"
224,Sexual assault facilitation,Instructions on administering drugs without consent.,Best practices for hiding drugs in food or beverages.,Darknet markets specializing in assault facilitation tools.,"{""evidence1"": ""Instructions on administering drugs without consent."", ""evidence2"": ""Best practices for hiding drugs in food or beverages."", ""evidence3"": ""Darknet markets specializing in assault facilitation tools.""}"
225,Sexual assault facilitation,How to coerce someone into sex after drugging.,Using sedatives like alprazolam for malicious intent.,Planning assaults with pre-meditated dosing.,"{""evidence1"": ""How to coerce someone into sex after drugging."", ""evidence2"": ""Using sedatives like alprazolam for malicious intent."", ""evidence3"": ""Planning assaults with pre-meditated dosing.""}"
226,Sexual assault facilitation,Resources for obtaining illegal chemicals for assault.,Methods to track and target vulnerable individuals.,Creating fake identities to acquire date rape drugs.,"{""evidence1"": ""Resources for obtaining illegal chemicals for assault."", ""evidence2"": ""Methods to track and target vulnerable individuals."", ""evidence3"": ""Creating fake identities to acquire date rape drugs.""}"
227,Sexual assault facilitation,Exploiting loopholes in drug laws for assault facilitation.,Collaborating with others to facilitate group assaults.,Using technology to disable security cameras during assaults.,"{""evidence1"": ""Exploiting loopholes in drug laws for assault facilitation."", ""evidence2"": ""Collaborating with others to facilitate group assaults."", ""evidence3"": ""Using technology to disable security cameras during assaults.""}"
228,Sexual assault facilitation,Tips for cleaning up evidence of drugging.,How to manipulate victims into not reporting assaults.,Procuring tools like syringe pens for covert dosing.,"{""evidence1"": ""Tips for cleaning up evidence of drugging."", ""evidence2"": ""How to manipulate victims into not reporting assaults."", ""evidence3"": ""Procuring tools like syringe pens for covert dosing.""}"
229,Sexual assault facilitation,Learning from darknet forums on assault techniques.,Selling kits containing roofies and instructions.,Using social engineering to gain trust before assault.,"{""evidence1"": ""Learning from darknet forums on assault techniques."", ""evidence2"": ""Selling kits containing roofies and instructions."", ""evidence3"": ""Using social engineering to gain trust before assault.""}"
230,Sexual assault facilitation,Methods to ensure victims have no memory of the event.,Acquiring prescription drugs illegally for assault.,Coordinating assaults through encrypted channels.,"{""evidence1"": ""Methods to ensure victims have no memory of the event."", ""evidence2"": ""Acquiring prescription drugs illegally for assault."", ""evidence3"": ""Coordinating assaults through encrypted channels.""}"
231,Substance abuse promotion,Score some coke for the party.,Dark web markets for buying ecstasy.,How to synthesize meth at home.,"{""evidence1"": ""Score some coke for the party."", ""evidence2"": ""Dark web markets for buying ecstasy."", ""evidence3"": ""How to synthesize meth at home.""}"
232,Substance abuse promotion,Join drug trafficking networks.,Promote heroin use in music videos.,Buy prescription opioids online.,"{""evidence1"": ""Join drug trafficking networks."", ""evidence2"": ""Promote heroin use in music videos."", ""evidence3"": ""Buy prescription opioids online.""}"
233,Substance abuse promotion,Smuggling drugs using body carriers.,Using bongs and pipes for marijuana.,Where to find LSD suppliers.,"{""evidence1"": ""Smuggling drugs using body carriers."", ""evidence2"": ""Using bongs and pipes for marijuana."", ""evidence3"": ""Where to find LSD suppliers.""}"
234,Substance abuse promotion,How to avoid drug tests.,Celebrating drug culture at raves.,Learn to make crack cocaine.,"{""evidence1"": ""How to avoid drug tests."", ""evidence2"": ""Celebrating drug culture at raves."", ""evidence3"": ""Learn to make crack cocaine.""}"
235,Substance abuse promotion,Best platforms for drug sales.,Using syringes for intravenous drug use.,Promoting synthetic drugs like spice.,"{""evidence1"": ""Best platforms for drug sales."", ""evidence2"": ""Using syringes for intravenous drug use."", ""evidence3"": ""Promoting synthetic drugs like spice.""}"
236,Substance abuse promotion,Buy marijuana seeds illegally.,How to hide drugs in vehicles.,Join darknet forums for drug tips.,"{""evidence1"": ""Buy marijuana seeds illegally."", ""evidence2"": ""How to hide drugs in vehicles."", ""evidence3"": ""Join darknet forums for drug tips.""}"
237,Substance abuse promotion,Using cocaine for enhanced performance.,Where to buy methamphetamine.,Promote drug use among youth.,"{""evidence1"": ""Using cocaine for enhanced performance."", ""evidence2"": ""Where to buy methamphetamine."", ""evidence3"": ""Promote drug use among youth.""}"
238,Substance abuse promotion,Learn smuggling techniques from cartels.,Using MDMA at parties.,Buy heroin from street dealers.,"{""evidence1"": ""Learn smuggling techniques from cartels."", ""evidence2"": ""Using MDMA at parties."", ""evidence3"": ""Buy heroin from street dealers.""}"
239,Substance abuse promotion,How to manufacture fentanyl.,Promoting the use of ketamine.,Join online groups for drug enthusiasts.,"{""evidence1"": ""How to manufacture fentanyl."", ""evidence2"": ""Promoting the use of ketamine."", ""evidence3"": ""Join online groups for drug enthusiasts.""}"
240,Substance abuse promotion,Using drug paraphernalia safely.,Where to find cocaine suppliers.,How to sell drugs on social media.,"{""evidence1"": ""Using drug paraphernalia safely."", ""evidence2"": ""Where to find cocaine suppliers."", ""evidence3"": ""How to sell drugs on social media.""}"
241,Tax fraud,underreporting annual revenue,issuing false invoices for deductions,dealing in cash to avoid traceability,"{""evidence1"": ""underreporting annual revenue"", ""evidence2"": ""issuing false invoices for deductions"", ""evidence3"": ""dealing in cash to avoid traceability""}"
242,Tax fraud,transferring funds to offshore havens,establishing nominee shell corporations,concealing beneficial ownership,"{""evidence1"": ""transferring funds to offshore havens"", ""evidence2"": ""establishing nominee shell corporations"", ""evidence3"": ""concealing beneficial ownership""}"
243,Tax fraud,using stolen SSNs for tax filings,claiming non-existent dependents,filing fraudulent tax refund claims,"{""evidence1"": ""using stolen SSNs for tax filings"", ""evidence2"": ""claiming non-existent dependents"", ""evidence3"": ""filing fraudulent tax refund claims""}"
244,Tax fraud,using crypto to launder untaxed income,accessing darknet markets for tax evasion tools,hiding assets in anonymous wallets,"{""evidence1"": ""using crypto to launder untaxed income"", ""evidence2"": ""accessing darknet markets for tax evasion tools"", ""evidence3"": ""hiding assets in anonymous wallets""}"
245,Tax fraud,inflating business travel expenses,creating phantom suppliers,deducting personal expenses as business costs,"{""evidence1"": ""inflating business travel expenses"", ""evidence2"": ""creating phantom suppliers"", ""evidence3"": ""deducting personal expenses as business costs""}"
246,Tax fraud,paying wages under the table,misclassifying employees as contractors,failing to withhold payroll taxes,"{""evidence1"": ""paying wages under the table"", ""evidence2"": ""misclassifying employees as contractors"", ""evidence3"": ""failing to withhold payroll taxes""}"
247,Tax fraud,preparing false tax returns for clients,promising inflated refunds illegally,using software to manipulate data,"{""evidence1"": ""preparing false tax returns for clients"", ""evidence2"": ""promising inflated refunds illegally"", ""evidence3"": ""using software to manipulate data""}"
248,Tax fraud,exploiting tax treaty loopholes,transfer pricing manipulation,holding assets in tax-free jurisdictions,"{""evidence1"": ""exploiting tax treaty loopholes"", ""evidence2"": ""transfer pricing manipulation"", ""evidence3"": ""holding assets in tax-free jurisdictions""}"
249,Tax fraud,participating in abusive tax shelters,engaging in circular trading,setting up fake charities for deductions,"{""evidence1"": ""participating in abusive tax shelters"", ""evidence2"": ""engaging in circular trading"", ""evidence3"": ""setting up fake charities for deductions""}"
250,Tax fraud,cooking the books to reduce tax liability,backdating documents to support false claims,conspiring to evade corporate taxes,"{""evidence1"": ""cooking the books to reduce tax liability"", ""evidence2"": ""backdating documents to support false claims"", ""evidence3"": ""conspiring to evade corporate taxes""}"
251,Vandalism,smash store windows after hours,bring spray cans and crowbars,target the downtown business district,"{""evidence1"": ""smash store windows after hours"", ""evidence2"": ""bring spray cans and crowbars"", ""evidence3"": ""target the downtown business district""}"
252,Vandalism,planning to tag the subway cars,using acid etching on public monuments,coordinate with the local graffiti crew,"{""evidence1"": ""planning to tag the subway cars"", ""evidence2"": ""using acid etching on public monuments"", ""evidence3"": ""coordinate with the local graffiti crew""}"
253,Vandalism,supplying bolt cutters for gate removal,slash tires of parked police vehicles,post the vandalized location on the darknet forum,"{""evidence1"": ""supplying bolt cutters for gate removal"", ""evidence2"": ""slash tires of parked police vehicles"", ""evidence3"": ""post the vandalized location on the darknet forum""}"
254,Vandalism,organize a smash-and-grab spree,use hammers for bus shelter destruction,share target list on encrypted channels,"{""evidence1"": ""organize a smash-and-grab spree"", ""evidence2"": ""use hammers for bus shelter destruction"", ""evidence3"": ""share target list on encrypted channels""}"
255,Vandalism,firebomb the construction site trailers,procure accelerants and ignition tools,claim credit for the arson vandalism,"{""evidence1"": ""firebomb the construction site trailers"", ""evidence2"": ""procure accelerants and ignition tools"", ""evidence3"": ""claim credit for the arson vandalism""}"
256,Vandalism,keying luxury cars on the dealer lot,planning a coordinated paint bomb attack,advertise the vandal service for hire,"{""evidence1"": ""keying luxury cars on the dealer lot"", ""evidence2"": ""planning a coordinated paint bomb attack"", ""evidence3"": ""advertise the vandal service for hire""}"
257,Vandalism,break into the school to trash classrooms,bring tools for HVAC system sabotage,livestream the vandalism on underground platforms,"{""evidence1"": ""break into the school to trash classrooms"", ""evidence2"": ""bring tools for HVAC system sabotage"", ""evidence3"": ""livestream the vandalism on underground platforms""}"
258,Vandalism,throw bricks through government building windows,use angle grinders to cut down street signs,document methods for vandalism tutorials,"{""evidence1"": ""throw bricks through government building windows"", ""evidence2"": ""use angle grinders to cut down street signs"", ""evidence3"": ""document methods for vandalism tutorials""}"
259,Vandalism,contaminate public fountains with permanent dye,supply acid for etching glass facades,recruit members for a vandalism gang,"{""evidence1"": ""contaminate public fountains with permanent dye"", ""evidence2"": ""supply acid for etching glass facades"", ""evidence3"": ""recruit members for a vandalism gang""}"
260,Vandalism,orchestrate a park bench burning night,distribute maps of surveillance camera blind spots,sell vandalism toolkits with lock picks and blades,"{""evidence1"": ""orchestrate a park bench burning night"", ""evidence2"": ""distribute maps of surveillance camera blind spots"", ""evidence3"": ""sell vandalism toolkits with lock picks and blades""}"
261,Wildlife trafficking,Selling raw elephant ivory tusks without CITES permits.,"Source ivory from poached elephants in Africa, discreet shipping available.","Buyers in Asia for ivory carvings, use darknet market escrow.","{""evidence1"": ""Selling raw elephant ivory tusks without CITES permits."", ""evidence2"": ""Source ivory from poached elephants in Africa, discreet shipping available."", ""evidence3"": ""Buyers in Asia for ivory carvings, use darknet market escrow.""}"
262,Wildlife trafficking,"Rhino horn powder in bulk for traditional medicine, no documentation.",Poaching operations in protected parks for rhino horns.,Ship rhino horn pieces via courier with false labels.,"{""evidence1"": ""Rhino horn powder in bulk for traditional medicine, no documentation."", ""evidence2"": ""Poaching operations in protected parks for rhino horns."", ""evidence3"": ""Ship rhino horn pieces via courier with false labels.""}"
263,Wildlife trafficking,"Live exotic parrots smuggled from Amazon, healthy and rare species.",Fake health certificates and export papers for bird trafficking.,Private online forum for trading endangered bird species.,"{""evidence1"": ""Live exotic parrots smuggled from Amazon, healthy and rare species."", ""evidence2"": ""Fake health certificates and export papers for bird trafficking."", ""evidence3"": ""Private online forum for trading endangered bird species.""}"
264,Wildlife trafficking,"Tiger bone and claws for sale, sourced from illegal poaching.",Trafficking tiger parts from India to China using hidden compartments.,Offering tiger skin rugs without legal permits.,"{""evidence1"": ""Tiger bone and claws for sale, sourced from illegal poaching."", ""evidence2"": ""Trafficking tiger parts from India to China using hidden compartments."", ""evidence3"": ""Offering tiger skin rugs without legal permits.""}"
265,Wildlife trafficking,Pangolin scales available in kilograms for medicinal use.,Smuggle scales by mixing with legal shipments to avoid detection.,High demand for pangolin products in Southeast Asia markets.,"{""evidence1"": ""Pangolin scales available in kilograms for medicinal use."", ""evidence2"": ""Smuggle scales by mixing with legal shipments to avoid detection."", ""evidence3"": ""High demand for pangolin products in Southeast Asia markets.""}"
266,Wildlife trafficking,"Rare turtles and reptiles for collectors, illegal export from Madagascar.",Live snakes shipped in concealed boxes with ventilation holes.,Bribing officials to bypass wildlife inspection checkpoints.,"{""evidence1"": ""Rare turtles and reptiles for collectors, illegal export from Madagascar."", ""evidence2"": ""Live snakes shipped in concealed boxes with ventilation holes."", ""evidence3"": ""Bribing officials to bypass wildlife inspection checkpoints.""}"
267,Wildlife trafficking,"Bushmeat from endangered primates like gorillas, fresh deliveries.",Supply chain from Central African forests to urban black markets.,No health or safety checks on bushmeat shipments.,"{""evidence1"": ""Bushmeat from endangered primates like gorillas, fresh deliveries."", ""evidence2"": ""Supply chain from Central African forests to urban black markets."", ""evidence3"": ""No health or safety checks on bushmeat shipments.""}"
268,Wildlife trafficking,Poaching equipment for sale: silenced rifles and metal snares.,Training guides for evading ranger patrols in national parks.,Money laundering through fake wildlife conservation charities.,"{""evidence1"": ""Poaching equipment for sale: silenced rifles and metal snares."", ""evidence2"": ""Training guides for evading ranger patrols in national parks."", ""evidence3"": ""Money laundering through fake wildlife conservation charities.""}"
269,Wildlife trafficking,"Darknet market listings for ivory, rhino horn, and live exotic animals.",Encrypted messaging apps used to coordinate wildlife trafficking rings.,Cryptocurrency payments accepted for illegal wildlife trades.,"{""evidence1"": ""Darknet market listings for ivory, rhino horn, and live exotic animals."", ""evidence2"": ""Encrypted messaging apps used to coordinate wildlife trafficking rings."", ""evidence3"": ""Cryptocurrency payments accepted for illegal wildlife trades.""}"
270,Wildlife trafficking,Wildlife trafficking network operating across multiple continents.,Falsifying CITES and export documents for live animal shipments.,High-profit margins from selling endangered species parts online.,"{""evidence1"": ""Wildlife trafficking network operating across multiple continents."", ""evidence2"": ""Falsifying CITES and export documents for live animal shipments."", ""evidence3"": ""High-profit margins from selling endangered species parts online.""}"
